,Price,Area,Location
0,2000000,35,Hòa Minh
1,2500000,35,Mỹ An
2,2000000,35,Hòa Cường Nam
3,1700000,20,Xuân Hà
4,2200000,18,Hòa Cường Bắc
5,2500000,40,Hòa Minh
6,3000000,100,Hòa Hải
7,1200000,25,Hòa Khánh Bắc
8,2500000,30,Hòa Cường Bắc
9,3000000,30,Hòa Cường Nam
10,1700000,13,Hòa Thuận Tây
11,2500000,23,Hòa Cường Nam
12,1500000,20,Khuê Mỹ
13,3500000,25,Khuê Trung
14,2000000,12,Hòa Hải
15,40000000,390,Khuê Trung
16,20000000,86,Khuê Trung
17,20000000,86,Khuê Trung
18,20000000,86,Khuê Trung
19,6000000,41,Hòa Cường Nam
20,2500000000,79,Thạc Gián
21,20000000,86,Khuê Trung
22,20000000,86,Khuê Trung
23,20000000,86,Khuê Trung
24,20000000,86,Khuê Trung
25,20000000,86,Khuê Trung
26,20000000,86,Khuê Trung
27,9999999999,170,Hòa Minh
28,20000000,86,Khuê Trung
29,9999999999,272,Hòa Cường Nam
30,20000000,86,Khuê Trung
31,20000000,86,Khuê Trung
32,1700000,30,Hòa Khánh Bắc
33,3500000,30,Hòa Thuận Tây
34,2000000,15,Khuê Trung
35,1800000,25,Hòa Khánh Bắc
36,3000000,40,Hòa Xuân
37,3000000,40,Hòa Xuân
38,1000000,20,Hòa Thuận Tây
39,2200000,35,Chính Gián
40,1200000,20,
41,1000000,15,
42,1400000,20,Hòa Minh
43,3000000,25,
44,1500000,15,
45,1600000,20,
46,1500000,20,
47,2500000,30,
48,2000000,20,
49,1600000,16,
50,3000000,30,Mỹ An
51,1800000,18,
52,2300000,20,
53,1000000,16,
54,3000000,30,Hòa Cường Nam
55,1200000,16,Hòa Khê
56,2500000,30,Mỹ An
57,2500000,25,Thạch Thang
58,1400000,15,Hòa Khê
59,3700000,40,Thọ Quang
60,2200000,20,Khuê Trung
61,1900000,35,Hòa Minh
62,4000000,24,
63,1800000,20,
64,3200000,24,Mỹ An
65,4000000,35,Hòa Xuân
66,2500000,25,
67,1500000,25,
68,1500000,18,
69,900000,24,
70,5000000,45,
71,2000000,17,Khuê Trung
72,1500000,20,
73,1500000,20,
74,1200000,19,
75,2200000,22,
76,2300000,23,
77,2000000,20,Khuê Trung
78,1400000,24,
79,1500000,15,Mỹ An
80,2000000,20,
81,1800000,18,
82,1600000,25,
83,4000000,27,
84,2000000,25,
85,1600000,17,Hòa Hải
86,1500000,23,
87,1400000,18,
88,1700000,17,
89,800000,17,
90,3800000,28,Mỹ An
91,2500000,25,
