,Location,Price,Area
0,"380 Phố Tôn Đức Thắng, Phường Hòa Minh, Liên Chiểu, Đà Nẵng Phố Tôn Đức Thắng, Phường Hòa Minh, Liên Chiểu, Đà Nẵng",2 triệu/tháng,35 m2
1,"346 Đường Ngũ Hành Sơn, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",2.5 triệu/tháng,35 m2
2,"582 Đường số 2/9, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng",2 triệu/tháng,35 m2
3,"559 Trần Cao Vân Đường Trần Cao Vân, Phường Xuân Hà, Thanh Khê, Đà Nẵng",1.7 triệu/tháng,20 m2
4,"Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",2.2 triệu/tháng,18 m2
5,"Phường Hòa Minh, Liên Chiểu, Đà Nẵng",2.5 triệu/tháng,40 m2
6,"Đường Nguyễn Duy Trinh, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",3 triệu/tháng,100 m2
7,"Phường Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng",1.2 triệu/tháng,25 m2
8,"382/6k Đường Núi Thành, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",2.5 triệu/tháng,30 m2
9,"Phường Hòa Cường Nam, Hải Châu, Đà Nẵng",3 triệu/tháng,30 m2
10,"340/9 Đường Nguyễn Tri Phương, Phường Hòa Thuận Tây, Hải Châu, Đà Nẵng",1.7 triệu/tháng,13 m2
11,"Phường Hòa Cường Nam, Hải Châu, Đà Nẵng",2.5 triệu/tháng,23 m2
12,"53 Đường Phạm Kiêm Ích, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",1.5 triệu/tháng,20 m2
13,"Đường Đỗ Thúc Tịnh, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",3.5 triệu/tháng,25 m2
14,"Đường Chu Lai, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",2 triệu/tháng,12 m2
15,"Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",40 triệu/tháng,390 m2
16,"Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",20 triệu/tháng,86 m2
17,"Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",20 triệu/tháng,86 m2
18,"Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",20 triệu/tháng,86 m2
19,"Phường Hòa Cường Nam, Hải Châu, Đà Nẵng",6 triệu/tháng,41 m2
20,"Phường Thạc Gián, Thanh Khê, Đà Nẵng",2500 triệu/tháng,79 m2
21,"Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",20 triệu/tháng,86 m2
22,"Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",20 triệu/tháng,86 m2
23,"Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",20 triệu/tháng,86 m2
24,"Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",20 triệu/tháng,86 m2
25,"Đường Đỗ Thúc Tịnh, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng Đường Đỗ Thúc Tịnh, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",20 triệu/tháng,86 m2
26,"Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",20 triệu/tháng,86 m2
27,"Phường Hòa Minh, Liên Chiểu, Đà Nẵng",9999.999999 triệu/tháng,170 m2
28,"Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",20 triệu/tháng,86 m2
29,"Phường Hòa Cường Nam, Hải Châu, Đà Nẵng",9999.999999 triệu/tháng,272 m2
30,"Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",20 triệu/tháng,86 m2
31,"Đường Đỗ Thúc Tịnh, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",20 triệu/tháng,86 m2
32,"52 Đường Hà Văn Tính, Phường Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng",1.7 triệu/tháng,30 m2
33,"503/50 Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Hải Châu, Đà Nẵng",3.5 triệu/tháng,30 m2
34,"Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",2 triệu/tháng,15 m2
35,"K151/34 Đường Âu Cơ, Phường Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng",1.8 triệu/tháng,25 m2
36,"Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",3 triệu/tháng,40 m2
37,"Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",3 triệu/tháng,40 m2
38,"k664/09 Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Hải Châu, Đà Nẵng",1 triệu/tháng,20 m2
39,"K48/H02 Đường Lê Độ, Phường Chính Gián, Thanh Khê, Đà Nẵng",2.2 triệu/tháng,35 m2
40,"Đường Phạm Hùng, Cẩm Lệ, Đà Nẵng",1.2 triệu/tháng,20 m2
41,"Đường Khái Tây 1, Ngũ Hành Sơn, Đà Nẵng",1 triệu/tháng,15 m2
42,"Hải Châu, Đà Nẵng",Thỏa thuận,18 m2
43,"11a Phố Nguyễn Xí, Phường Hòa Minh, Liên Chiểu, Đà Nẵng",1.4 triệu/tháng,20 m2
44,"Đường Ngô Thì Sĩ, Ngũ Hành Sơn, Đà Nẵng",3 triệu/tháng,25 m2
45,"K110 Đường Phan Thanh, Thanh Khê, Đà Nẵng",1.5 triệu/tháng,15 m2
46,"184-186 Đường Phạm Viết Chánh, Cẩm Lệ, Đà Nẵng",1.6 triệu/tháng,20 m2
47,"Đường Trần Tấn Mới, Hải Châu, Đà Nẵng",1.5 triệu/tháng,20 m2
48,"51 Đường Nguyễn Đình Chiểu, Ngũ Hành Sơn, Đà Nẵng",2.5 triệu/tháng,30 m2
49,"Kiệt 714 Đường Trường Chinh, Cẩm Lệ, Đà Nẵng",2 triệu/tháng,20 m2
50,"41 Đường Hóa Mỹ, Cẩm Lệ, Đà Nẵng",1.6 triệu/tháng,16 m2
51,"111 Đường Nguyễn Minh Châu, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,16 m2
52,"Lô 38 Đường An Thượng 29, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",3 triệu/tháng,30 m2
53,"166 Đường Bích Khê, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",Thỏa thuận,22 m2
54,"H11/22K654 Đường Trưng Nữ Vương, Hải Châu, Đà Nẵng",1.8 triệu/tháng,18 m2
55,"37 Đường Ngô Tất Tố, Hải Châu, Đà Nẵng",2.3 triệu/tháng,20 m2
56,"59 Đường Lê Thị Tính, Thanh Khê, Đà Nẵng",1 triệu/tháng,16 m2
57,"104 Đường Tố Hữu, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng",3 triệu/tháng,30 m2
58,"k123/h73/17 Đường Cù Chính Lan, Phường Hòa Khê, Thanh Khê, Đà Nẵng",1.2 triệu/tháng,16 m2
59,"lô 38 Đường An Thượng 29, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",2.5 triệu/tháng,30 m2
60,"12/9 Đường Lý Thường Kiệt, Phường Thạch Thang, Hải Châu, Đà Nẵng",2.5 triệu/tháng,25 m2
61,"Đường Cù Chính Lan, Phường Hòa Khê, Thanh Khê, Đà Nẵng",1.4 triệu/tháng,15 m2
62,"Đường Phan Bá Phiến, Phường Thọ Quang, Sơn Trà, Đà Nẵng Đường Phan Bá Phiến, Phường Thọ Quang, Sơn Trà, Đà Nẵng",3.7 triệu/tháng,40 m2
63,"Đường Cách Mạng Tháng Tám, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng Đường Cách Mạng Tháng Tám, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",2.2 triệu/tháng,20 m2
64,"172/55/18 Đường Tô Hiệu, Phường Hòa Minh, Liên Chiểu, Đà Nẵng",1.9 triệu/tháng,35 m2
65,"K104/H12/2 Đường Mai Lão Bạng, Phường Thuận Phước, Hải Châu, Đà Nẵng",Thỏa thuận,20 m2
66,"Đường Hoài Thanh, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,24 m2
67,"Đường Đinh Đạt, Sơn Trà, Đà Nẵng",4 triệu/tháng,24 m2
68,"Đường Morrison, Sơn Trà, Đà Nẵng",1.8 triệu/tháng,20 m2
69,"K52/58 Đường Đinh Tiên Hoàng, Hải Châu, Đà Nẵng",Thỏa thuận,23 m2
70,"53 Đường An Thượng 39, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",3.2 triệu/tháng,24 m2
71,"Đường Trung Lương 11, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",4 triệu/tháng,35 m2
72,"Đường Trưng Nữ Vương, Hải Châu, Đà Nẵng",2.5 triệu/tháng,25 m2
73,"672/5 Đường Trần Cao Vân, Hải Châu, Đà Nẵng",1.5 triệu/tháng,25 m2
74,"Đường Hà Huy Tập, Hải Châu, Đà Nẵng",1.5 triệu/tháng,18 m2
75,"Đường Hà Huy Tập, Hải Châu, Đà Nẵng",900.000 đồng/tháng,24 m2
76,"Đường An Đồn 5, Sơn Trà, Đà Nẵng",5 triệu/tháng,45 m2
77,"Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",Thỏa thuận,24 m2
78,"Kiệt 111 Đường Cách Mạng Tháng Tám, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",2 triệu/tháng,17 m2
79,"7 Đường Trần Đức Thảo, Hải Châu, Đà Nẵng",Thỏa thuận,15 m2
80,"74 Đường Bàu Năng 1, Liên Chiểu, Đà Nẵng",1.5 triệu/tháng,20 m2
81,"356/22 Đường Hoàng Diệu, Hải Châu, Đà Nẵng",1.5 triệu/tháng,20 m2
82,"521/8 Đường Núi Thành, Hải Châu, Đà Nẵng",1.2 triệu/tháng,19 m2
83,"K1E/12 Đường Đỗ Thúc Tịnh, Cẩm Lệ, Đà Nẵng",2.2 triệu/tháng,22 m2
84,"Đường An Thượng 1, Ngũ Hành Sơn, Đà Nẵng",2.3 triệu/tháng,23 m2
85,"K121/19 Đường Trần Huy Liệu, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",2 triệu/tháng,20 m2
86,"541/22 Đường Núi Thành, Hải Châu, Đà Nẵng",1.4 triệu/tháng,24 m2
87,"85A/15 Phố Lê Văn Hưu, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",1.5 triệu/tháng,15 m2
88,"299 Đường Trần Hưng Đạo, Sơn Trà, Đà Nẵng",2 triệu/tháng,20 m2
89,"49 Đường Nguyễn Đình Chiểu, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,25 m2
90,"478/29 Đường Lê Duẩn, Hải Châu, Đà Nẵng",1.8 triệu/tháng,18 m2
91,"Đường số 3/2, Hải Châu, Đà Nẵng",1.6 triệu/tháng,25 m2
92,"K4/18 Đường Ngô Quyền, Sơn Trà, Đà Nẵng",Thỏa thuận,25 m2
93,"Đường Trường Thi 1, Hải Châu, Đà Nẵng",4 triệu/tháng,27 m2
94,"78 Phố Phạm Tuấn Tài, Ngũ Hành Sơn, Đà Nẵng",2 triệu/tháng,25 m2
95,"Phố Trần Quốc Hoàn, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",1.6 triệu/tháng,17 m2
96,"69 Đường Hồ Sỹ Dương, Cẩm Lệ, Đà Nẵng",1.5 triệu/tháng,23 m2
97,"K57/1 Đường Lê Hữu Trác, Sơn Trà, Đà Nẵng",1.4 triệu/tháng,18 m2
98,"Đường Khánh An 3, Liên Chiểu, Đà Nẵng",1.7 triệu/tháng,17 m2
99,"K57/25 Đường Mẹ Suốt, Liên Chiểu, Đà Nẵng",800.000 đồng/tháng,17 m2
100,"189 Đường Trần Kim Xuyến, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",Thỏa thuận,40 m2
101,"Đường Cồn Dầu 24, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",Thỏa thuận,27 m2
102,"Đường Đa Mặn 10, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,24 m2
103,"Số 70 - 72 Đường Hồ Huân Nghiệp, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",3.8 triệu/tháng,28 m2
104,"72/26 Đường Lê Cơ, Hải Châu, Đà Nẵng",Thỏa thuận,24 m2
105,"Đường Nguyễn Tất Thành, Hải Châu, Đà Nẵng",2.5 triệu/tháng,25 m2
106,"79/10 Đường An Trung Đông 7, Phường An Hải Đông, Sơn Trà, Đà Nẵng",Thỏa thuận,40 m2
107,"521/1D và 521/11A Đường Núi Thành, Hải Châu, Đà Nẵng",1 triệu/tháng,17 m2
108,"K19/34 Đường Hà Huy Tập, Thanh Khê, Đà Nẵng",1.8 triệu/tháng,20 m2
109,"Đường Xuân Thủy, Cẩm Lệ, Đà Nẵng",1.5 triệu/tháng,20 m2
110,"Đường Khuê Mỹ Đông 7, Ngũ Hành Sơn, Đà Nẵng",3.3 triệu/tháng,30 m2
111,"314 Phố Lê Trọng Tấn, Cẩm Lệ, Đà Nẵng",2 triệu/tháng,40 m2
112,"Đường Phước Lý 1, Cẩm Lệ, Đà Nẵng",1.7 triệu/tháng,25 m2
113,"82 Đường Phước Lý 12, Liên Chiểu, Đà Nẵng",1.5 triệu/tháng,18 m2
114,"Đường An Thượng, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",3.5 triệu/tháng,40 m2
115,"Đường Âu Cơ, Liên Chiểu, Đà Nẵng",Thỏa thuận,25 m2
116,"Đường Khuê Mỹ Đông 4, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,26 m2
117,"39 Đường Võ Văn Kiệt, Sơn Trà, Đà Nẵng",2 triệu/tháng,20 m2
