,Location,Price,Area
0,"Đường Tôn Đản, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng
","2,3 triệu/tháng - 23 m2",Diện tích: 23 m²
1,"Đường Lê Hữu Trác, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng
",3 triệu/tháng - 25 m2,Diện tích: 25 m²
2,"Đinh Công Trứ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng
","1,6 triệu/tháng - 15 m2",Diện tích: 15 m²
3,"K814A/30/3, Trần Cao Vân, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng
","3,2 triệu/tháng - 30 m2",Diện tích: 30 m²
4,"Đường Số 3, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng
",700.000 đ/tháng - 16 m2,Diện tích: 16 m²
5,"Đường Mê Linh, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng
","1,2 triệu/tháng - 22 m2",Diện tích: 22 m²
6,"Kiệt 123 Cù chính Lan, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng
","1,4 triệu/tháng - 14 m2",Diện tích: 14 m²
7,"HT, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng
","1,7 triệu/tháng - 30 m2",Diện tích: 30 m²
8,"47, Đường Tản Đà, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng
","2,2 triệu/tháng - 25 m2",Diện tích: 25 m²
9,"Thạch Sơn 7, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng
",900.000 đ/tháng - 20 m2,Diện tích: 20 m²
10,"Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng
",900.000 đ/tháng - 4 m2,Diện tích: 4 m²
11,"Nguyễn Minh Châu, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng
","1,7 triệu/tháng - 18 m2",Diện tích: 18 m²
12,"Nguyễn Tri Phương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng
",900.000 đ/tháng - 3 m2,Diện tích: 3 m²
13,"Đường Phạm Khiêm Ích, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng
","1,2 triệu/tháng - 15 m2",Diện tích: 15 m²
14,"Đường Bình Hòa 11, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng
",850.000 đ/tháng - 32 m2,Diện tích: 32 m²
15,"Đường Lê Thiện Trị, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng
","2,5 triệu/tháng - 25 m2",Diện tích: 25 m²
16,"166/12, Kiệt 166 Trường Chinh, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng
","1,2 triệu/tháng - 25 m2",Diện tích: 25 m²
17,"Đặng Thái Thân, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng
","1,5 triệu/tháng - 15 m2",Diện tích: 15 m²
18,"Trương Định, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng
",3 triệu/tháng - 25 m2,Diện tích: 25 m²
19,"K294/16, Kiệt 294 Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng
","3,1 triệu/tháng - 35 m2",Diện tích: 35 m²
20,"Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng
","1,2 triệu/tháng - 18 m2",Diện tích: 18 m²
21,"82, losbey, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng
","2,6 triệu/tháng - 25 m2",Diện tích: 25 m²
22,"Lô 23, Hoàng Trung Thông, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng
","2,5 triệu/tháng - 25 m2",Diện tích: 25 m²
23,"Đường Nguyễn Huy Tưởng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng
","2,5 triệu/tháng - 25 m2",Diện tích: 25 m²
24,"Nguyễn Hữu Thọ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng
",3 triệu/tháng - 35 m2,Diện tích: 35 m²
25,"Đường Nam Kỳ Khởi Nghĩa, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng
",2 triệu/tháng - 50 m2,Diện tích: 50 m²
26,"Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng
",3 triệu/tháng - 20 m2,Diện tích: 20 m²
