,Location,Price,Area
0,"Đ. Thanh Vinh 16, P. Hòa Khánh Bắc, Q. Liên Chiểu, Tp. Đà Nẵng","1,9 Triệu/Tháng",30 m²
1,"P. Hòa Minh, Q. Liên Chiểu, Tp. Đà Nẵng","1,8 Triệu/Tháng",29 m²
2,"P. Hòa Minh, Q. Liên Chiểu, Tp. Đà Nẵng",2 Triệu/Tháng,35 m²
3,"Da Nang Landlord, Q. Ngũ Hành Sơn, Tp. Đà Nẵng","5,5 Triệu/Tháng",45 m²
4,"Q. Sơn Trà, Tp. Đà Nẵng","1,8 Triệu/Tháng",18 m²
5,"Q. Hải Châu, Tp. Đà Nẵng",3 Triệu/Tháng,40 m²
6,"Q. Cẩm Lệ, Tp. Đà Nẵng","1,5 Triệu/Tháng",22 m²
7,"P. Hòa Cường Nam, Q. Hải Châu, Tp. Đà Nẵng",Thương lượng,30 m²
8,"P. Thanh Bình, Q. Hải Châu, Tp. Đà Nẵng",Thương lượng,30 m²
9,"Đ. Bình Kỳ, P. Hoà Quý, Q. Ngũ Hành Sơn, Tp. Đà Nẵng","1,2 Triệu/Tháng",20 m²
10,"P. Hòa Xuân, Q. Cẩm Lệ, Tp. Đà Nẵng","2,5 Triệu/Tháng",35 m²
11,"Q. Ngũ Hành Sơn, Tp. Đà Nẵng",Thương lượng,25 m²
12,"60, P. Mỹ An, Q. Ngũ Hành Sơn, Tp. Đà Nẵng","2,5 Triệu/Tháng",1 PN
13,"P. Hòa Cường Bắc, Q. Hải Châu, Tp. Đà Nẵng",Thương lượng,22 m²
14,"Đ. Kinh Dương Vương, Q. Liên Chiểu, Tp. Đà Nẵng",Thương lượng,25 m²
15,"Đ. Bế Văn Đàn, P. An Khê, Q. Thanh Khê, Tp. Đà Nẵng",Thương lượng,20 m²
16,"Q. Ngũ Hành Sơn, Tp. Đà Nẵng",Thương lượng,20 m²
17,"P. Hòa Xuân, Q. Cẩm Lệ, Tp. Đà Nẵng",2 Triệu/Tháng,30 m²
18,"Đ. Bình Kỳ, P. Hoà Quý, Q. Ngũ Hành Sơn, Tp. Đà Nẵng","1,4 Triệu/Tháng",24 m²
19,"Đ. Ngô Thì Sĩ, P. Mỹ An, Q. Ngũ Hành Sơn, Tp. Đà Nẵng","5,5 Triệu/Tháng",55 m²
20,"Đ. Bình Kỳ, P. Hoà Quý, Q. Ngũ Hành Sơn, Tp. Đà Nẵng","1,4 Triệu/Tháng",24 m²
21,"Đ. Mỹ Đa Đông 3, P. Mỹ An, Q. Ngũ Hành Sơn, Tp. Đà Nẵng","1,7 Triệu/Tháng",16 m²
22,"Đ. Đỗ Đức Dục, P. An Khê, Q. Thanh Khê, Tp. Đà Nẵng",2 Triệu/Tháng,25 m²
23,"Đ. Phan Chu Trinh, Q. Hải Châu, Tp. Đà Nẵng","1,5 Triệu/Tháng",15 m²
24,"Đ. 2/9, P. Hòa Thuận Đông, Q. Hải Châu, Tp. Đà Nẵng","1,85 Triệu/Tháng",18 m²
25,"Đ. Đa Mặn 5, P. Khuê Mỹ, Q. Ngũ Hành Sơn, Tp. Đà Nẵng","3,7 Triệu/Tháng",40 m²
26,"Đ. Nguyễn Xuân Khoát, Q. Sơn Trà, Tp. Đà Nẵng",2 Triệu/Tháng,25 m²
