,Location,Price,Area
0,"Địa chỉ: Đinh Đạt, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",2.8 triệu/tháng,31m2
1,"Địa chỉ: Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",2 triệu/tháng,35m2
2,"Địa chỉ: 96 Đường Trần Quý Khoách, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",2 triệu/tháng,90m2
3,"Địa chỉ: Đường Lê Văn Tâm, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",2 triệu/tháng,25m2
4,"Địa chỉ: 22A Phước Hòa, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",1.5 triệu/tháng,15m2
5,"Địa chỉ: 132 Đường Duy Tân, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",1.9 triệu/tháng,17m2
6,"Địa chỉ: 71 Bùi Xương Tự, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",1.4 triệu/tháng,25m2
7,"Địa chỉ: Lê Thị Hồng Gấm, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",3.5 triệu/tháng,35m2
8,"Địa chỉ: Ngũ Hành Sơn, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",2.5 triệu/tháng,35m2
9,"Địa chỉ: 508 Lê Văn Hiến, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",1.5 triệu/tháng,20m2
10,"Địa chỉ: Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",1.8 triệu/tháng,25m2
11,"Địa chỉ: 582 2/9, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",2 triệu/tháng,30m2
12,"Địa chỉ: K35/3 Đường Nam Thành, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",1.5 triệu/tháng,20m2
13,"Địa chỉ: Đà Sơn, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",1.1 triệu/tháng,35m2
