,Location,Price,Area
0,"503/48 Trưng Nữ Vương, Hải Châu District, Da Nang, Vietnam",3 Triệu 500K ₫ / Tháng,25m2
1,K130 H22/15 Điện Biên Phủ Đà Nẵng,2 Triệu 300K ₫ / Tháng,32m2
2,"503/50 Trưng Nhị, Hòa Thuận Tây, Hải Châu District, Da Nang, Vietnam",3 Triệu 500K ₫ / Tháng,30m2
3,"42 Lê Lộ, Mỹ An, Ngũ Hành Sơn, Đà Nẵng, Việt Nam",2 Triệu 500K ₫ / Tháng,20m2
4,"Đào Sư Tích, Hòa Minh, Liên Chiểu, Đà Nẵng, Việt Nam",2 Triệu 500K ₫ / Tháng,0m2
5,"54 Đội Cung, Đà Nẵng",7 Triệu ₫ / Tháng,150m2
6,Đà nẵng,1 Triệu 300K ₫ / Tháng,7m2
7,Đà nẵng,1 Triệu 500K ₫ / Tháng,7m2
8,"42 Võ Quảng, Hòa Xuân, Cẩm Lệ, Đà Nẵng, Việt Nam",1 Triệu 800K ₫ / Tháng,18m2
9,"236 Phạm Cự Lượng, An Hải, An Hải Đông, Sơn Trà, Da Nang, Vietnam",4 Triệu ₫ / Tháng,30m2
10,"18 Trịnh Đình Thảo, Khuê Trung, Cẩm Lệ, Đà Nẵng, Việt Nam",2 ₫ / Tháng,15m2
11,"380 Tôn Đức Thắng, Hòa Minh, Liên Chiểu, Đà Nẵng, Việt Nam",2 Triệu 500K ₫ / Tháng,30m2
12,"161 Mẹ Suốt, Hòa Khánh Nam, Liên Chiểu, Đà Nẵng, Việt Nam",1 ₫ / Tháng,12m2
13,"51 Trần bạch đằng, Mỹ An, Ngũ Hành Sơn, Tp.Đà Nẵng",14 Triệu ₫ / Tháng,60m2
14,"71 Bùi Xương Tự, Cẩm Lệ, Đà Nẵng, Việt Nam",1 Triệu 400K ₫ / Tháng,24m2
15,"Dũng Sĩ Thanh Khê, Thanh Khê, Đà Nẵng, Việt Nam",800 ₫ / Tháng,0m2
16,"K151/34 Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, TP Đà Nẵng",1 Triệu 800K ₫ / Tháng,25m2
17,"Trần Đình Tri, Hòa Minh, Liên Chiểu, Đà Nẵng, Việt Nam",800000 ₫ / Tháng,25m2
18,"138/14 Hoàng Văn Thái, Hòa Khánh Nam, Liên Chiểu, Đà Nẵng, Việt Nam",1 Triệu 500K ₫ / Tháng,33m2
19,"380 Tôn Đức Thắng, Hòa Minh, Liên Chiểu, Đà Nẵng, Việt Nam",0 ₫ / Tháng,30m2
20,Đà nẵng,1 Triệu 600K ₫ / Tháng,16m2
21,"18 Cẩm Bắc 9, Hòa Phát, Cẩm Lệ, Đà Nẵng, Việt Nam",1 Triệu 500K ₫ / Tháng,20m2
22,"37 Diệp Minh Châu, Hòa Xuân, Cẩm Lệ, Đà Nẵng, Việt Nam",3 Triệu ₫ / Tháng,40m2
23,"Bà Huyện Thanh Quan, Mỹ An, Ngũ Hành Sơn, Đà Nẵng, Việt Nam",0 ₫ / Tháng,35m2
24,"8 Lê Sát, Hòa Cường, Hòa Cường Nam, Hải Châu, Đà Nẵng",500000 ₫ / Tháng,20m2
25,"Nguyễn Chánh, Hòa Minh, Liên Chiểu, Đà Nẵng, Việt Nam",800000 ₫ / Tháng,25m2
