,Location,Price,Area
0,"Phố Tôn Đức Thắng, Phường Hòa Khánh Nam, Liên Chiểu, Đà Nẵng",3 triệu/tháng,55 m²
1,"Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng","2,2 triệu/tháng",20 m²
2,"Kiệt 292 Hải Phòng, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng",3 triệu/tháng,35 m²
3,"Đường Nguyễn Chánh, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng","1,2 triệu/tháng",20 m²
4,"Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng","1,1 triệu/tháng",5 m²
5,"Đường Loseby, Phường  An Hải Bắc, Sơn Trà, Đà Nẵng","3,5 triệu/tháng",35 m²
6,"Đường Phan Triêm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng","1,5 triệu/tháng",20 m²
7,"Mẹ Suốt, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",1 triệu/tháng,15 m²
8,"12, vũ mộng nguyên, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",2 triệu/tháng,20 m²
9,"Đường Phạm Tu, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng","2,6 triệu/tháng",18 m²
10,"Đường Số 3 Kcn Hòa Cầm, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng",800 ngàn/tháng,15 m²
11,"Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",700 ngàn/tháng,15 m²
12,"87/17, Dũng Sĩ Thanh Khê, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng","1,4 triệu/tháng",16 m²
13,"87, Đường Nguyễn Quang Diêu, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",3 triệu/tháng,30 m²
14,"Phú Xuân 3, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","3,5 triệu/tháng",25 m²
15,"K141/56, Tiểu la, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng","2,5 triệu/tháng",30 m²
16,"66, Nguyễn Huy Tưởng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","1,6 triệu/tháng",30 m²
17,"04, Đường Lê Hồng Phong, Phường Hải Châu  I, Quận Hải Châu, Đà Nẵng",130 ngàn/tháng,16 m²
18,"Đường Phạm Thiều, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",3 triệu/tháng,20 m²
19,"104, 104 Đường Lý Văn Tố, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng","1,8 triệu/tháng",15 m²
20,"33, Đường Nguyễn Quang Bích, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng","1,1 triệu/tháng",3 m²
