,Location,Price,Area
0,"Cho thuê phòng trọ đường Lý Văn Phức, P. Hòa Hải, Q. Ngũ Hành Sơn, Đà Nẵng",2 triệu,KXĐ
1,"Cho thuê phòng trọ đường Trưng Nữ Vương, P. Hòa Thuận Tây, Q. Hải Châu, Đà Nẵng","1,4 triệu",KXĐ
2,"Cho thuê phòng trọ đường Hà Thị Thân, An Hải Tây, Sơn Trà, Đà Nẵng",Thoả thuận,KXĐ
3,"Cho thuê phòng trọ đường Vũ Miên, Hoà Phước, Hòa Vang, Đà Nẵng",Thoả thuận,25 m2
4,"Cho thuê phòng trọ đường Trương Định, Mân Thái, Sơn Trà, Đà Nẵng",3 triệu,35 m2
5,"Cho thuê phòng trọ đường Trần Cao Vân, Xuân Hà, Thanh Khê, Đà Nẵng","1,2 triệu",KXĐ
6,"Cho thuê phòng trọ đường Tôn Đức Thắng, Hoà Minh, Liên Chiểu, Đà Nẵng",2 triệu,25 m2
7,"Cho thuê phòng trọ đường Hà Huy Tập, Hòa Khê, Thanh Khê, Đà Nẵng",2 triệu,KXĐ
8,"Cho thuê phòng trọ đường Phước Lý 12, Hoà Minh, Liên Chiểu, Đà Nẵng","1,5 triệu",KXĐ
9,"Cho thuê phòng trọ đường Tiên Sơn 5, Hoà Cường Nam, Hải Châu, Đà Nẵng",Thoả thuận,KXĐ
10,"Cho thuê phòng trọ đường Trần Cao Vân, Xuân Hà, Thanh Khê, Đà Nẵng",2 triệu,25 m2
11,"Cho thuê phòng trọ kiệt Trần Văn Dư, P. Mỹ An, Q. Ngũ Hành Sơn, Đà Nẵng","1,55 triệu",KXĐ
12,"Cho thuê phòng trọ đường Nguyễn Tất Thành, Hoà Hiệp Nam, Liên Chiểu, Đà Nẵng","1,6 triệu",KXĐ
13,"Cho thuê phòng trọ đường  Đoàn Phú Tứ, Hoà Khánh Bắc, Liên Chiểu, Đà Nẵng",2 triệu,KXĐ
14,"Cho thuê phòng trọ đường Chế Viết Tấn, Hòa Xuân, Đà Nẵng",2 triệu,KXĐ
15,"Cho thuê phòng trọ đường Hồ Nguyên Trừng, Khuê Trung, Cẩm Lệ, Đà Nẵng.",Thoả thuận,40 m2
16,"Bán nhà đường Cô Bắc, Hải Châu 2, Hải Châu, Đà Nẵng.","2,68 tỷ",45 m2
17,"Cho thuê phòng trọ đường Lê Đình Lý, Bình Thuận, Hải Châu, Đà Nẵng",Thoả thuận,KXĐ
18,"Cho thuê phòng trọ đường Trần Huy Liệu, Khuê Trung, Cẩm Lệ, Đà Nẵng",Thoả thuận,20 m2
19,"Cho thuê phòng trọ đường Tôn Đức Thắng, Hoà Minh, Liên Chiểu, Đà Nẵng","1,2 triệu",KXĐ
20,"Cho thuê phòng trọ đường Quang Trung, Hải Châu, Đà Nẵng.",3 triệu,KXĐ
21,"Cho thuê phòng trọ đường Tiểu La, Hòa Cường Bắc, Hải Châu, Đà Nẵng","2,6 triệu",KXĐ
22,"Cho thuê phòng trọ đường Mai Đăng Chơn, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng","1,3 triệu",KXĐ
23,"Cho thuê phòng trọ đường Khánh An 10, Hòa khánh Nam, Liên Chiểu, Đà Nẵng","1,5 triệu",KXĐ
24,"Cho thuê phòng trọ đường Ngũ Hành Sơn, Mỹ An, Ngũ Hành Sơn, Đà Nẵng",2 triệu,KXĐ
25,"Cho thuê phòng trọ đường Sơn Thủy Đông 3, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng","1,5 triệu",KXĐ
26,"Cho thuê trọ đường Nguyễn Lương Bằng, Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng","1,3 triệu",KXĐ
